id,created_at,picture,source,screen_name,name,text,time_zone,clean_text 
"639646200078073856",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/537788902401011713/JSGKDJdm_normal.jpeg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,tidak_hanya,jokower tobat,RT @SuaraIslamOn: Ahok Gusur Rakyat Rakyat Gusur Ahok http://t.co/pQWzqKR6tM,Jakarta,RT @SuaraIslamOn: Ahok Gusur Rakyat Rakyat Gusur Ahok http://t.co/pQWzqKR6tM
"639646203655794688",2015-09-04 00:00:00,http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,Berita_lewat,Berita lewat,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu sediakan transportas... http://t.co/QxEdbALfFA,None,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu sediakan transportas... http://t.co/QxEdbALfFA
"639646204930957312",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/537788902401011713/JSGKDJdm_normal.jpeg,<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>,tidak_hanya,jokower tobat,Retweeted Suara Islam Online (@SuaraIslamOn):Ahok Gusur Rakyat Rakyat Gusur Ahok http://t.co/yaGuczhrJU http://t.co/mGETf0aBIF,Jakarta,Retweeted Suara Islam Online (@SuaraIslamOn):Ahok Gusur Rakyat Rakyat Gusur Ahok http://t.co/yaGuczhrJU http://t.co/mGETf0aBIF
"639646212501561344",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/613269886429741056/DY_-9Zeq_normal.jpg,<a href="http://twibble.io" rel="nofollow">Twibble.io</a>,KoranTimeline,KORAN TIMELINE,Blusukan Jokowi-Ahok Bicarakan Hal Ini di Dalam Mobil http://t.co/PkUkFj5n9K | https://t.co/15qJoWs3uC http://t.co/UQn9AQjkN3,None,Blusukan Jokowi-Ahok Bicarakan Hal Ini di Dalam Mobil http://t.co/PkUkFj5n9K | https://t.co/15qJoWs3uC http://t.co/UQn9AQjkN3
"639646214405799936",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/467946764587126784/QpVRM_V5_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,Castronovsky,Castronovsky,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat http://t.co/vY0s6EpZqT,Jakarta,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat http://t.co/vY0s6EpZqT
"639646224421777408",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/568353940563976192/QKd43YM0_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,ratih_Anggi033,tampan4rt was here,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/XVnqINEMwj #RanoKarnoHRSMundur,Novosibirsk,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/XVnqINEMwj #RanoKarnoHRSMundur
"639646234022572032",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/568354093945458688/yzMX1g5s_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,yhani_Primatika,tampan4rt was here,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/ufiXfUxygg #RanoKarnoHRSMundur,None,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/ufiXfUxygg #RanoKarnoHRSMundur
"639646235746435073",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/490062070973337600/R1-RGWnn_normal.jpeg,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,ReformatorPSSI,Pendukung Perubahan,RT @PolitikAktual: Bahagia melihat Jokowi  Ahok blusukan bersama hari ini. #2019 http://t.co/yuyQYLwW8A,Jakarta,RT @PolitikAktual: Bahagia melihat Jokowi  Ahok blusukan bersama hari ini. #2019 http://t.co/yuyQYLwW8A
"639646244269232129",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/568354143115288576/WXBE8GCv_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,dina_Rahmadani9,tampan4rt was here,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/N0ssYnrHM4 #RanoKarnoHRSMundur,None,Ahok Yakin Ojek Online Pasti Ditinggal Masyarakat: Itu terjadi saat Pemprov Jakarta mampu ... http://t.co/N0ssYnrHM4 #RanoKarnoHRSMundur
"639646250443390976",2015-09-04 00:00:00,http://pbs.twimg.com/profile_images/537261981300830208/f8ge8yEw_normal.jpeg,<a href="http://www.google.com/" rel="nofollow">Google</a>,ridomanihuruk,Alfrido Manihuruk,Sejak jadi gubernur Ahok hobi 'cuci gudang' PNS yang malas disikat http://t.co/UTGePXzdL4 #FollowMe #Follback,Jakarta,Sejak jadi gubernur Ahok hobi 'cuci gudang' PNS yang malas disikat http://t.co/UTGePXzdL4 #FollowMe #Follback
