id,created_at,picture,source,screen_name,name,text,time_zone,clean_text 
"662419136358649856",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/466506235521404928/7akY03CI_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,Twuot,BERITA INDONESIA,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/XSUhptEdVd,Bangkok,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/XSUhptEdVd
"662419160987635712",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/606548154113093632/To0P7HDe_normal.jpg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,isna_dilla,isna faradina dilla,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/vzyPt7x8jo,None,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/vzyPt7x8jo
"662419165240647680",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/568030036553252865/iwoh-PpM_normal.jpeg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,InfoSumseL_,Info SumseL,#BeritaSumseL Makanan Jadi Modus Kampanye Terselubung di Pilkada https://t.co/dYmeoXj9Yj,Novosibirsk,#BeritaSumseL Makanan Jadi Modus Kampanye Terselubung di Pilkada https://t.co/dYmeoXj9Yj
"662419187176902656",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/583624900205621248/QRd5ywVX_normal.jpg,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,andi_r45,@ndir45,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/xVRXTJu2va,Jakarta,Makanan Jadi Modus Kampanye Terselubung di Pilkada: Mendekati hari pemilihan dalam rangkaian Pilkada Serentak ... https://t.co/xVRXTJu2va
"662419213454172161",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/651240387172954112/tsixOY7N_normal.jpg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,SAHSoeryaAnsar,Soerya Ansar,RT @SAH9Desember: Polda Kepri Larang Pendukung Paslon Pilkada Gelar Konvoi Keliling - https://t.co/xQ5Y0DXm1K https://t.co/svnUMP5FnV,Pacific Time (US & Canada),RT @SAH9Desember: Polda Kepri Larang Pendukung Paslon Pilkada Gelar Konvoi Keliling - https://t.co/xQ5Y0DXm1K https://t.co/svnUMP5FnV
"662419391292682240",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/656077370550411265/Ox9V1R5A_normal.jpg,<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>,ardhivatmawan13,Ardhi Ganjil,RT @surya_kuda: Desember ceria "@IniSleman: Tribun Jateng - PSIS Ingin Laga Persahabatan Lawan PSS Diundur Usai Pilkada,Bangkok,RT @surya_kuda: Desember ceria "@IniSleman: Tribun Jateng - PSIS Ingin Laga Persahabatan Lawan PSS Diundur Usai Pilkada
"662419605101547522",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/657866140866076672/Ya58fCfZ_normal.jpg,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,bang_dw,R-EVO-iLUSI,Hati hati Black Campaign di Pilkada kemungkinan bisa masuk ketegori Hate Speech https://t.co/NBp3kzH9io https://t.co/zujDgGG8KO,Bangkok,Hati hati Black Campaign di Pilkada kemungkinan bisa masuk ketegori Hate Speech https://t.co/NBp3kzH9io https://t.co/zujDgGG8KO
"662419621689954305",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/657866140866076672/Ya58fCfZ_normal.jpg,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,bang_dw,R-EVO-iLUSI,Hati hati Black Campaign di Pilkada kemungkinan bisa masuk ketegori Hate Speech https://t.co/NBp3kzH9io via @lingkarannews,Bangkok,Hati hati Black Campaign di Pilkada kemungkinan bisa masuk ketegori Hate Speech https://t.co/NBp3kzH9io via @lingkarannews
"662419652241420288",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/653885260120244224/Q65tAaKc_normal.jpg,<a href="http://www.google.com/" rel="nofollow">Google</a>,syariattella,Syariat Tella,Kreatifnya Kampanye Relawan #HarapanKu di Sosmed https://t.co/dt9tSFPaTu #pilkada #sulawesi #pilkadapangkep,Jakarta,Kreatifnya Kampanye Relawan #HarapanKu di Sosmed https://t.co/dt9tSFPaTu #pilkada #sulawesi #pilkadapangkep
"662419664635609088",2015-11-06 00:00:00,http://pbs.twimg.com/profile_images/3183547776/0a6c4abf34ec05956748db0c75c94dc7_normal.jpeg,<a href="http://www.google.com/" rel="nofollow">Google</a>,suara_celebes,Kabar Celebes,Kreatifnya Kampanye Relawan #HarapanKu di Sosmed https://t.co/rXGloRdMxH #pilkada #sulawesi #pilkadapangkep,Beijing,Kreatifnya Kampanye Relawan #HarapanKu di Sosmed https://t.co/rXGloRdMxH #pilkada #sulawesi #pilkadapangkep
