id,created_at,picture,source,screen_name,name,text,time_zone,clean_text 
"662056943209594880",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/659187490482315264/ssCMHOkr_normal.png,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>,DikaKakina,Clip Net News,Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/K1w6EpWasB https://t.co/EyV04wUV7R,None,Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/K1w6EpWasB https://t.co/EyV04wUV7R
"662056945122156544",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/659187490482315264/ssCMHOkr_normal.png,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>,DikaKakina,Clip Net News,Jumlah Perkara Menjelang Pilkada 2015 https://t.co/rwvFGBj3Xj https://t.co/AankJXnju3,None,Jumlah Perkara Menjelang Pilkada 2015 https://t.co/rwvFGBj3Xj https://t.co/AankJXnju3
"662056987241394176",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/378800000422389684/79afe9ed14e4d15cd274cd795caac181_normal.jpeg,<a href="https://roundteam.co" rel="nofollow">RoundTeam</a>,Kawasan_Megamas,Megamas Manado,RT @sulutnetwork: #snNewsFeed: Olly Bahas Pilkada dengan Paloh Sambil Makan Tinutuan https://t.co/z5tb2DHn4T,Hong Kong,RT @sulutnetwork: #snNewsFeed: Olly Bahas Pilkada dengan Paloh Sambil Makan Tinutuan https://t.co/z5tb2DHn4T
"662057092337958912",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/661716256941174784/z6yJmVQX_normal.jpg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,ariefmuhajir,Al-Fatih,RT @fathirfs: Reaksi Ahok ditantang @Nur_Mahmudi di Pilkada DKI https://t.co/pKleS9hEu8 @PKSJakarta @MardaniPKS @PKSejahtera,Bangkok,RT @fathirfs: Reaksi Ahok ditantang @Nur_Mahmudi di Pilkada DKI https://t.co/pKleS9hEu8 @PKSJakarta @MardaniPKS @PKSejahtera
"662057380541300736",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/559367899169558528/r4Ol8kTV_normal.png,<a href="http://www.hootsuite.com" rel="nofollow">Hootsuite</a>,SamarindaTepian,Samarinda KotaTepian,Penyederhanaan Izin di Samarinda Menunggu Pilkada - Kaltim Post https://t.co/a1DYpZBAPu,Kuala Lumpur,Penyederhanaan Izin di Samarinda Menunggu Pilkada - Kaltim Post https://t.co/a1DYpZBAPu
"662057630764957696",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/2615623116/pqn37ls9x2gul1jnxsqr_normal.jpeg,<a href="http://dlvr.it" rel="nofollow">dlvr.it</a>,UpdateBPN,Update Balikpapan,#infoSMD Penyederhanaan Izin di Samarinda Menunggu Pilkada - Kaltim Post https://t.co/I2fB3kpA6X,None,#infoSMD Penyederhanaan Izin di Samarinda Menunggu Pilkada - Kaltim Post https://t.co/I2fB3kpA6X
"662057696003166208",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/628022320309800960/9n0yKY6S_normal.jpg,<a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>,GeronimoFM,GERONIMO 106.1 FM,#GMY TODAY'S HEADLINE: MK Masih Tangani Sengketa Pilkada (via: https://t.co/otjia9bBta) https://t.co/Fx7ZvmfEBG,Bangkok,#GMY TODAY'S HEADLINE: MK Masih Tangani Sengketa Pilkada (via: https://t.co/otjia9bBta) https://t.co/Fx7ZvmfEBG
"662057782762426368",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/661858648998572032/TmFOusNM_normal.png,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>,MaruSisimaru,Maru News,RT DikaKakina  Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/1EVlhPH2iI https://t.co/7jeUTDF033,None,RT DikaKakina  Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/1EVlhPH2iI https://t.co/7jeUTDF033
"662057783886508032",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/661858648998572032/TmFOusNM_normal.png,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>,MaruSisimaru,Maru News,RT DikaKakina  Jumlah Perkara Menjelang Pilkada 2015 https://t.co/zLuby5cm2J https://t.co/UCVSqUp6ML,None,RT DikaKakina  Jumlah Perkara Menjelang Pilkada 2015 https://t.co/zLuby5cm2J https://t.co/UCVSqUp6ML
"662058020839395329",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/660749380429873152/Ps5imIXu_normal.jpg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,wirdamnur,Wr ,RT @kompascom: Bara JP Protes Simbol Jokowi Dipakai "Partai Penyerang Jokowi" dalam Pilkada https://t.co/sDSxmzzsaQ,Jakarta,RT @kompascom: Bara JP Protes Simbol Jokowi Dipakai "Partai Penyerang Jokowi" dalam Pilkada https://t.co/sDSxmzzsaQ
"662058202650013696",2015-11-05 00:00:00,http://pbs.twimg.com/profile_images/632414235989938176/Zi1WRebJ_normal.png,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>,regintu,regintu,Tu News  Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/De8HfnVQtu https://t.co/vsIAZq7Pm4,None,Tu News  Lembaga Penyelenggara Pemilu mengadap Presiden Bahas Persiapan Pilkada https://t.co/De8HfnVQtu https://t.co/vsIAZq7Pm4
