letter	frequency
@basuki_btp	44
@BudiPurnomo_ID	40
@yBudiPurnomo	40
@dwitasaridwita:	28
@kurawa:	26
@YouTube	22
@jokowi	18
@Yusrilihza_Mhd:	15
@BataraNews	15
@kompascom:	13
@fadlizon	12
@hansdavidian:	12
@akimerdeka:	11
@detikcom:	11
@Metro_TV:	11
