letter	frequency
#ahok	42
#berita	41
#jakarta	40
#MengaisMasaLalu	28
#samarinda	10
#	8
#LawanAhok	7
#kutaikartanegara	6
#balitoday	6
#News	5
#INSOM	5
#GALAU	5
#retuit	4
#sms	4
#jomblo	4
